lat,lon,user_id,Comment type,Comment,Proposal/solution,Who is effected,PSB aspirations,Are there other stakeholders?,"Short, medium, long term"
51.59799551270736,-2.9762479808337994,70,Example of best practice,The Dingle,NA,NA,NA,No,Medium Term
51.61084815657366,-3.0099750302049237,70,Example of best practice,Canal,NA,NA,NA,No,Medium Term
51.61199411165278,-3.015188993323379,70,Example of best practice,Canal,NA,NA,NA,No,Medium Term
51.61004863969469,-3.015875634356511,70,Example of best practice,Civil Service Club,NA,NA,NA,No,Medium Term
51.60490473082948,-3.012322267533947,70,Example of best practice,Bettws Ponds- Rare birds/ recreational fishing- walking route in place,NA,NA,NA,No,Short term
51.61267634058262,-3.028904646912374,70,Example of best practice,Bettws in bloom,NA,NA,NA,No,Short term
51.61267634058262,-3.0282180058792423,70,Example of best practice,Community Hub- communities for work,NA,NA,NA,No,Short term
51.585848528041915,-2.9586013264539854,70,Example of best practice,Hope Centre- community centre- resilient communties,NA,NA,NA,No,Short term
51.58857095098732,-2.9565284195758372,70,Example of best practice,Allotments- Newport Mind,NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.59058933184331,-2.9459668815298694,70,Example of best practice,Ladyhill wood,NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.587416407997495,-2.9475504471505825,70,Example of best practice,Alway com association- aspire?/ community group/ fruit and veg,NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.59291155849805,-2.9413792613892165,70,"[""Opportunity"", ""Example of best practice""]",Bishpool Estate- Derwen housing association,NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.591210559647116,-2.97990421312191,70,Example of best practice,Hafal- mental health charity,NA,NA,NA,No,Medium Term
51.58890957674399,-2.9834618717128736,70,Example of best practice,"Eaton road- community house, community garden",NA,NA,NA,No,Short term
51.593295474126606,-2.9849768174355233,70,Example of best practice,GAVO,NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.59167980725037,-2.9645492453903026,70,Opportunity,Beechwood house- runs activities- opportunity,NA,NA,NA,No,Short term
51.59094660583549,-2.9745913704997893,70,Opportunity,Kensington place- community garden- opportunity,NA,NA,NA,No,Medium Term
51.6004586404958,-2.9650469621491893,70,"[""Opportunity"", ""Example of best practice""]",Beaufort Road- community learning/ school/ sheltered accomodation,NA,NA,NA,No,Medium Term
51.590850621862664,-2.9742093277801485,70,Opportunity,St Johns Church- land ,NA,NA,NA,No,Medium Term
51.590938606517724,-2.9784922513552425,70,Example of best practice,Maindee Unlimited- communities group/ alot of activities/ Maindee edibles,NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.59288489735534,-2.9759817200778764,70,"[""Opportunity"", ""Example of best practice""]",Summerhill- Men's Shed's group,NA,NA,NA,No,Medium Term
51.59067998328968,-3.017935745951985,70,Example of best practice,"Local buisness- hideaway cafe, fantastic views, fourteen locks",NA,NA,NA,No,Short term
51.58210993003352,-3.020733808685856,70,Opportunity,Cemetery- could be green flag?,NA,NA,NA,No,Medium Term
51.590759970858485,-3.005730824180875,70,Example of best practice,Tennis courts,NA,NA,NA,No,Short term
51.59377269891102,-3.0066320405368363,70,Opportunity,Open green space- pockets of green space/ but maps needs updating,NA,NA,NA,No,Medium Term
51.589810786661,-3.009807755315064,70,Opportunity,Derwen housing association- green space,NA,NA,NA,No,Medium Term
51.575720003450186,-3.0378570523053177,70,"[""Opportunity"", ""Example of best practice""]",Community council/ recreation fields/ Graig community centre/ allotments/ large woodland,NA,NA,NA,No,Medium Term
51.591029257165424,-2.983517722668194,70,Example of best practice,"Maindee Unlimited and Maindee Incredible Edibles- wildflower veg beds, community gardens (public health trust funding), mixed hedgrow",NA,NA,NA,No,Medium Term
51.59045601976841,-2.980985733858537,70,"[""Opportunity"", ""Example of best practice""]","Maindee Unlimited and Maindee Incredible Edibles- wildflower veg beds, Carpark- could help with plans to further green the space, e.g natural play area",NA,NA,NA,No,Medium Term
51.59020272652126,-2.983174402151638,70,Example of best practice,"Maindee Unlimited and Maindee Incredible Edibles- wildflower veg beds, community gardens (public health trust funding), mixed hedgrow",NA,NA,NA,No,Short term
51.588242988929174,-2.9828739966996447,70,Opportunity,Maindee Unlimited and Maindee Incredible Edibles- Jublie park,NA,NA,NA,No,Medium Term
51.58876559404917,-2.978307834091283,70,Example of best practice,"Maindee Unlimited and Maindee Incredible Edibles- wildflower veg beds, community gardens (public health trust funding), mixed hedgrow",NA,NA,NA,No,Medium Term
51.58770171309017,-2.9798913997119962,70,Opportunity,Maindee Unlimited and Maindee Incredible Edibles- Wharf road- plant fruit trees,NA,NA,NA,No,Medium Term
51.58366460612694,-2.9972334209153666,70,Opportunity,"Currently no community active, but big",NA,NA,NA,No,Medium Term
51.592444989393734,-2.9715531456293998,70,Example of best practice,Woodlanders- community group (Contact Alison from Gaer school),NA,NA,NA,No,"[""Short term"", ""Medium Term""]"
51.58320860914814,-2.9992333622773653,70,Opportunity,Park- Victoria Crescent ,NA,NA,NA,No,Medium Term
51.58430192766773,-2.998332145921384,70,Issue,Chapel Park- Talbot Lane- taken over by drug users and contaminated by discarded needles,NA,NA,NA,No,"[""Medium Term"", ""Long Term""]"
51.583955268546305,-2.997902995275683,70,Example of best practice,Share centre- community centre/ provision for young people/ rear garden project/ community education,NA,NA,NA,No,Short term
51.58355527396599,-2.995371006466026,70,"[""Opportunity"", ""Issue""]","Park Square- public space and garden, some issues from people with substance abuse",NA,NA,NA,No,"[""Medium Term"", ""Long Term""]"
51.58334194208338,-2.9925815272689364,70,"[""Opportunity"", ""Issue"", ""Example of best practice""]","St Pauls walk- Commerical Street- public square, public art works, site of public health info, ASB",NA,NA,NA,No,Medium Term
51.583288608956224,-2.9989329568253713,70,Example of best practice,"St Woolos Cathedral- cemetery and church yard, cemetery conservation, green space, cultural centre",NA,NA,NA,No,Short term
51.57923510812825,-3.001902677198185,70,Example of best practice,"Belle Vue park- public park, bowls club, Green Flag park",NA,NA,NA,No,Short term
51.58763505347498,-2.9942208806400683,70,Example of best practice,Cycle path along river on both banks,NA,NA,NA,No,Short term
51.58851495789078,-2.993577154671499,70,Example of best practice,Riverfront theatre- garden/ small space project/ young peoples activities,NA,NA,NA,No,Short term
51.58568853770584,-2.993877560123493,70,Example of best practice,City centre library- cultural centre/ community learning,NA,NA,NA,No,Short term
51.583288608956224,-3.004777986524399,70,Example of best practice,Stow Park community centre- church/ community learning and activities,NA,NA,NA,No,Short term
51.58547521583887,-2.991302656249273,70,Example of best practice,Leisure Centre- community activities/ information events/ public engagement/ sports activities/ NPT exercise referal scheme,NA,NA,NA,No,Short term
51.584461923293276,-2.9941779655754868,70,Example of best practice,"Salvation Army, Hill St, support and drop in, community groups and meetings",NA,NA,NA,No,Short term
51.58342194165671,-2.9937488149297864,70,Example of best practice,"Eden gate, Hill Street. Year round night shelter (open shortly)",NA,NA,NA,No,Medium Term
51.584952572869234,-3.0048037345154177,70,Example of best practice,Clyffard crescent- one planter,NA,NA,NA,No,Short term
51.592018408105076,-2.9968644475698696,70,Opportunity,"Newport Castle- owned by Cadu, closed off and shuts out public",NA,NA,NA,No,Medium Term
51.58428699437213,-2.9890616768448486,70,"[""Opportunity"", ""Issue""]","Former childrens playground, closed because used needles found on site",NA,NA,NA,No,Medium Term
51.58601545137693,-2.990165880618046,70,Example of best practice,University of South Wales,NA,NA,NA,No,Short term
51.58574206819995,-2.999427093918275,70,"[""Opportunity"", ""Example of best practice""]",Park- Victoria Crescent,NA,NA,NA,No,Medium Term
51.586542748722685,-3.002331731839381,70,Issue,"Railway embankments provide natural habitat, although they are being sprayed",NA,NA,NA,No,Medium Term
